      0.00510204      0.03760861
      0.01530612      0.10148745
      0.02551020      0.15438665
      0.03571429      0.19710783
      0.04591837      0.23106578
      0.05612245      0.25806142
      0.06632653      0.27989580
      0.07653061      0.29805952
      0.08673469      0.31358397
      0.09693878      0.32704558
      0.10714286      0.33866618
      0.11734694      0.34844541
      0.12755102      0.35627908
      0.13775510      0.36204400
      0.14795918      0.36564853
      0.15816327      0.36705726
      0.16836735      0.36629919
      0.17857143      0.36346610
      0.18877551      0.35870536
      0.19897959      0.35220935
      0.20918367      0.34420274
      0.21938776      0.33492875
      0.22959184      0.32463558
      0.23979592      0.31356377
      0.25000000      0.30193573
      0.26020408      0.28994772
      0.27040816      0.27776491
      0.28061224      0.26551928
      0.29081633      0.25331003
      0.30102041      0.24120614
      0.31122449      0.22925024
      0.32142857      0.21746331
      0.33163265      0.20584968
      0.34183673      0.19440168
      0.35204082      0.18310387
      0.36224490      0.17193655
      0.37244898      0.16087849
      0.38265306      0.14990884
      0.39285714      0.13900847
      0.40306122      0.12816064
      0.41326531      0.11735126
      0.42346939      0.10656890
      0.43367347      0.09580447
      0.44387755      0.08505086
      0.45408163      0.07430257
      0.46428571      0.06355523
      0.47448980      0.05280527
      0.48469388      0.04204961
      0.49489796      0.03128537
      0.50510204      0.02050971
      0.51530612      0.00971962
      0.52551020     -0.00108832
      0.53571429     -0.01191704
      0.54591837     -0.02277053
      0.55612245     -0.03365271
      0.56632653     -0.04456756
      0.57653061     -0.05551917
      0.58673469     -0.06651157
      0.59693878     -0.07754859
      0.60714286     -0.08863363
      0.61734694     -0.09976944
      0.62755102     -0.11095786
      0.63775510     -0.12219950
      0.64795918     -0.13349342
      0.65816327     -0.14483689
      0.66836735     -0.15622508
      0.67857143     -0.16765103
      0.68877551     -0.17910579
      0.69897959     -0.19057902
      0.70918367     -0.20206019
      0.71938776     -0.21354074
      0.72959184     -0.22501758
      0.73979592     -0.23649827
      0.75000000     -0.24800830
      0.76020408     -0.25960090
      0.77040816     -0.27136899
      0.78061224     -0.28345875
      0.79081633     -0.29608245
      0.80102041     -0.30952673
      0.81122449     -0.32414997
      0.82142857     -0.34035962
      0.83163265     -0.35855869
      0.84183673     -0.37905037
      0.85204082     -0.40189361
      0.86224490     -0.42671225
      0.87244898     -0.45247600
      0.88265306     -0.47729540
      0.89285714     -0.49830001
      0.90306122     -0.51169659
      0.91326531     -0.51311692
      0.92346939     -0.49834001
      0.93367347     -0.46437373
      0.94387755     -0.41067649
      0.95408163     -0.34003416
      0.96428571     -0.25849213
      0.97448980     -0.17407615
      0.98469388     -0.09476829
      0.99489796     -0.02672175
